,날짜,시장,품명,거래량
73,2013-01-12,서울,겨울,289990
74,2013-01-12,광주,봄,60
75,2013-01-14,광주,가을,18132
76,2013-01-14,대구,가을,1808
77,2013-01-14,대전,가을,42740
78,2013-01-14,부산,가을,14000
79,2013-01-14,광주,겨울,5600
80,2013-01-14,대전,겨울,20014
81,2013-01-14,부산,겨울,228000
82,2013-01-14,서울,겨울,532370
83,2013-01-14,광주,봄,80
84,2013-01-15,광주,가을,31696
85,2013-01-15,대전,가을,15990
86,2013-01-15,광주,겨울,11060
87,2013-01-15,대전,겨울,27884
88,2013-01-15,부산,겨울,198000
89,2013-01-15,서울,겨울,19050
90,2013-01-15,광주,봄,80
91,2013-01-16,광주,가을,26474
92,2013-01-16,대전,가을,26660
93,2013-01-16,광주,겨울,3874
94,2013-01-16,대구,겨울,11928
95,2013-01-16,대전,겨울,14464
96,2013-01-16,부산,겨울,198000
97,2013-01-16,서울,겨울,524460
98,2013-01-16,광주,봄,120
99,2013-01-17,광주,가을,15184
100,2013-01-17,대전,가을,18420
101,2013-01-17,광주,겨울,1190
102,2013-01-17,대구,겨울,9550
103,2013-01-17,대전,겨울,6744
104,2013-01-17,부산,겨울,137000
105,2013-01-17,서울,겨울,454255
106,2013-01-17,광주,봄,60
107,2013-01-18,광주,가을,10092
108,2013-01-18,대전,가을,25990
109,2013-01-18,광주,겨울,9452
110,2013-01-18,대전,겨울,4272
111,2013-01-18,부산,겨울,125000
112,2013-01-18,서울,겨울,534665
113,2013-01-18,광주,봄,120
114,2013-01-18,광주,여름,80
115,2013-01-19,광주,가을,3512
116,2013-01-19,대전,가을,12270
117,2013-01-19,광주,겨울,20650
118,2013-01-19,대구,겨울,10584
119,2013-01-19,대전,겨울,1712
120,2013-01-19,부산,겨울,32000
121,2013-01-19,서울,겨울,238550
122,2013-01-19,광주,봄,20
123,2013-01-21,광주,가을,14320
124,2013-01-21,대전,가을,32540
125,2013-01-21,광주,겨울,24980
126,2013-01-21,대전,겨울,18312
127,2013-01-21,부산,겨울,231000
128,2013-01-21,서울,겨울,39595
129,2013-01-21,광주,봄,40
130,2013-01-22,광주,가을,13784
131,2013-01-22,대전,가을,6990
132,2013-01-22,광주,겨울,3330
133,2013-01-22,대전,겨울,3400
134,2013-01-22,부산,겨울,111000
135,2013-01-22,서울,겨울,408600
136,2013-01-22,광주,봄,20
137,2013-01-23,광주,가을,8952
138,2013-01-23,대전,가을,25660
139,2013-01-23,광주,겨울,16470
140,2013-01-23,대전,겨울,8728
141,2013-01-23,부산,겨울,197000
142,2013-01-23,서울,겨울,296660
143,2013-01-23,광주,봄,80
144,2013-01-24,광주,가을,3528
145,2013-01-24,대전,가을,29310
146,2013-01-24,광주,겨울,6870
147,2013-01-24,대구,겨울,3256
148,2013-01-24,대전,겨울,9672
149,2013-01-24,부산,겨울,72000
150,2013-01-24,서울,겨울,18365
151,2013-01-24,광주,봄,40
152,2013-01-25,광주,가을,4904
153,2013-01-25,대전,가을,28600
154,2013-01-25,광주,겨울,5420
155,2013-01-25,대전,겨울,9856
156,2013-01-25,부산,겨울,233000
157,2013-01-25,서울,겨울,347155
158,2013-01-25,광주,봄,40
159,2013-01-26,광주,가을,4416
160,2013-01-26,대전,가을,21190
161,2013-01-26,광주,겨울,31870
162,2013-01-26,대전,겨울,3024
163,2013-01-26,부산,겨울,10000
164,2013-01-26,서울,겨울,285295
165,2013-01-26,광주,봄,100
166,2013-01-28,광주,가을,7256
167,2013-01-28,대전,가을,14290
168,2013-01-28,부산,가을,8000
169,2013-01-28,광주,겨울,11850
170,2013-01-28,대전,겨울,5432
171,2013-01-28,부산,겨울,104000
172,2013-01-28,서울,겨울,27050
173,2013-01-28,광주,봄,100
174,2013-01-29,광주,가을,11360
175,2013-01-29,대전,가을,25700
176,2013-01-29,광주,겨울,6960
177,2013-01-29,대전,겨울,11096
178,2013-01-29,부산,겨울,131000
179,2013-01-29,광주,봄,100
180,2013-01-30,광주,가을,20784
181,2013-01-30,대전,가을,26800
182,2013-01-30,광주,겨울,18468
183,2013-01-30,대전,겨울,24528
184,2013-01-30,부산,겨울,138000
185,2013-01-30,서울,겨울,315270
186,2013-01-30,광주,봄,40
187,2013-01-31,광주,가을,9056
188,2013-01-31,대전,가을,23760
189,2013-01-31,광주,겨울,26410
190,2013-01-31,대구,겨울,14496
191,2013-01-31,대전,겨울,8560
192,2013-01-31,부산,겨울,159000
193,2013-01-31,서울,겨울,379910
194,2013-01-31,광주,봄,100
195,2013-02-01,광주,가을,19304
196,2013-02-01,대전,가을,36000
197,2013-02-01,광주,겨울,15650
198,2013-02-01,대구,겨울,960
199,2013-02-01,대전,겨울,12072
200,2013-02-01,부산,겨울,132000
201,2013-02-01,서울,겨울,506780
202,2013-02-01,광주,봄,100
203,2013-02-01,광주,여름,36
204,2013-02-02,광주,가을,2176
205,2013-02-02,대전,가을,13500
206,2013-02-02,광주,겨울,2938
207,2013-02-02,대전,겨울,1136
208,2013-02-02,부산,겨울,8000
209,2013-02-02,서울,겨울,231890
210,2013-02-02,광주,봄,100
211,2013-02-03,광주,가을,2464
212,2013-02-04,광주,가을,5040
213,2013-02-04,대전,가을,62410
214,2013-02-04,광주,겨울,17360
215,2013-02-04,대전,겨울,14592
216,2013-02-04,부산,겨울,222000
217,2013-02-04,서울,겨울,598640
218,2013-02-04,광주,봄,100
219,2013-02-05,광주,가을,3728
220,2013-02-05,대전,가을,8360
221,2013-02-05,광주,겨울,6160
222,2013-02-05,대전,겨울,9720
223,2013-02-05,부산,겨울,68000
224,2013-02-05,서울,겨울,459350
225,2013-02-05,광주,봄,100
226,2013-02-06,광주,가을,10648
227,2013-02-06,대전,가을,35200
228,2013-02-06,광주,겨울,24100
229,2013-02-06,대구,겨울,10160
230,2013-02-06,대전,겨울,12576
231,2013-02-06,부산,겨울,144000
232,2013-02-06,서울,겨울,41365
233,2013-02-06,광주,봄,100
234,2013-02-07,광주,가을,18704
235,2013-02-07,대전,가을,20970
236,2013-02-07,광주,겨울,17270
237,2013-02-07,대전,겨울,1854
238,2013-02-07,부산,겨울,159000
239,2013-02-07,서울,겨울,389910
240,2013-02-07,광주,봄,120
241,2013-02-08,광주,가을,6256
242,2013-02-08,대전,가을,15770
243,2013-02-08,광주,겨울,1420
244,2013-02-08,부산,겨울,124000
245,2013-02-08,서울,겨울,169830
246,2013-02-08,광주,봄,100
247,2013-02-09,서울,겨울,9700
248,2013-02-12,부산,겨울,8000
249,2013-02-13,광주,가을,3400
250,2013-02-13,대전,가을,13830
251,2013-02-13,대전,겨울,11608
252,2013-02-13,서울,겨울,260040
253,2013-02-14,광주,가을,20568
254,2013-02-14,대전,가을,33840
255,2013-02-14,광주,겨울,29190
256,2013-02-14,대전,겨울,10736
257,2013-02-14,부산,겨울,126000
258,2013-02-14,광주,봄,100
259,2013-02-15,광주,가을,10560
260,2013-02-15,대전,가을,36370
261,2013-02-15,광주,겨울,13020
262,2013-02-15,대전,겨울,16112
263,2013-02-15,부산,겨울,131000
264,2013-02-15,서울,겨울,548135
265,2013-02-15,광주,봄,100
266,2013-02-16,대전,가을,24700
267,2013-02-16,광주,겨울,19558
268,2013-02-16,대구,겨울,7752
269,2013-02-16,대전,겨울,7680
270,2013-02-16,부산,겨울,31000
271,2013-02-16,서울,겨울,312400
272,2013-02-16,광주,봄,100
273,2013-02-18,대전,가을,30270
274,2013-02-18,광주,겨울,42508
275,2013-02-18,대전,겨울,3992
276,2013-02-18,부산,겨울,226000
277,2013-02-18,서울,겨울,21855
278,2013-02-18,광주,봄,80
279,2013-02-19,대전,가을,6820
280,2013-02-19,광주,겨울,26538
281,2013-02-19,대구,겨울,4784
282,2013-02-19,대전,겨울,14192
283,2013-02-19,부산,겨울,191000
284,2013-02-19,서울,겨울,20845
285,2013-02-19,광주,봄,120
286,2013-02-20,대전,가을,51160
287,2013-02-20,부산,가을,8000
288,2013-02-20,광주,겨울,35074
289,2013-02-20,대전,겨울,12056
290,2013-02-20,부산,겨울,202000
291,2013-02-20,서울,겨울,447940
292,2013-02-20,광주,봄,120
293,2013-02-21,대전,가을,34280
294,2013-02-21,광주,겨울,46208
295,2013-02-21,대구,겨울,17072
296,2013-02-21,대전,겨울,4608
297,2013-02-21,서울,겨울,612770
298,2013-02-21,광주,봄,100
299,2013-02-22,대전,가을,23230
300,2013-02-22,광주,겨울,28408
301,2013-02-22,대전,겨울,6168
302,2013-02-22,서울,겨울,29375
303,2013-02-22,광주,봄,100
304,2013-02-23,대전,가을,25460
305,2013-02-23,광주,겨울,31078
306,2013-02-23,대전,겨울,7528
307,2013-02-23,서울,겨울,294380
308,2013-02-23,광주,봄,100
309,2013-02-25,대전,가을,41630
310,2013-02-25,광주,겨울,39024
311,2013-02-25,대구,겨울,5040
312,2013-02-25,대전,겨울,9832
313,2013-02-25,서울,겨울,545160
314,2013-02-25,광주,봄,40
315,2013-02-26,대전,가을,33480
316,2013-02-26,광주,겨울,35138
317,2013-02-26,대전,겨울,10056
318,2013-02-26,서울,겨울,65170
319,2013-02-26,광주,봄,120
320,2013-02-27,대전,가을,13870
321,2013-02-27,광주,겨울,39786
322,2013-02-27,대구,겨울,6520
323,2013-02-27,대전,겨울,8448
324,2013-02-27,광주,봄,120
325,2013-02-28,대전,가을,22790
326,2013-02-28,광주,겨울,19768
327,2013-02-28,대구,겨울,7760
328,2013-02-28,대전,겨울,9992
329,2013-02-28,서울,겨울,27150
330,2013-02-28,광주,봄,120
331,2013-03-01,대전,가을,49460
332,2013-03-01,광주,겨울,30798
333,2013-03-01,대구,겨울,7416
334,2013-03-01,대전,겨울,7104
335,2013-03-01,서울,겨울,38000
336,2013-03-01,광주,봄,120
337,2013-03-01,광주,여름,200
338,2013-03-02,대전,가을,22330
339,2013-03-02,광주,겨울,16288
340,2013-03-02,대전,겨울,4288
341,2013-03-02,서울,겨울,177940
342,2013-03-02,광주,봄,120
343,2013-03-04,대전,가을,28130
344,2013-03-04,광주,겨울,35848
345,2013-03-04,대전,겨울,11760
346,2013-03-04,부산,겨울,12000
347,2013-03-04,광주,봄,120
348,2013-03-05,대전,가을,32610
349,2013-03-05,광주,겨울,28494
350,2013-03-05,대구,겨울,7472
351,2013-03-05,대전,겨울,8160
352,2013-03-05,서울,겨울,440530
353,2013-03-05,광주,봄,120
354,2013-03-06,대전,가을,19290
355,2013-03-06,광주,겨울,56478
356,2013-03-06,대구,겨울,9480
357,2013-03-06,대전,겨울,3880
358,2013-03-06,서울,겨울,682200
359,2013-03-06,광주,여름,4
360,2013-03-07,광주,가을,3424
361,2013-03-07,대전,가을,20610
362,2013-03-07,광주,겨울,26312
363,2013-03-07,대구,겨울,6544
364,2013-03-07,대전,겨울,4336
365,2013-03-07,서울,겨울,544640
366,2013-03-07,광주,봄,40
367,2013-03-08,대전,가을,28220
368,2013-03-08,광주,겨울,25786
369,2013-03-08,대전,겨울,5520
370,2013-03-08,서울,겨울,56500
371,2013-03-08,광주,봄,60
372,2013-03-09,대전,가을,6910
373,2013-03-09,광주,겨울,17638
374,2013-03-09,대구,겨울,7400
375,2013-03-09,대전,겨울,13096
376,2013-03-11,대전,가을,50010
377,2013-03-11,광주,겨울,48142
378,2013-03-11,대전,겨울,11160
379,2013-03-11,서울,겨울,638110
380,2013-03-12,대전,가을,46170
381,2013-03-12,광주,겨울,43754
382,2013-03-12,대전,겨울,15952
383,2013-03-12,서울,겨울,40500
384,2013-03-12,광주,봄,60
385,2013-03-13,대전,가을,21910
386,2013-03-13,광주,겨울,34036
387,2013-03-13,대전,겨울,11312
388,2013-03-13,서울,겨울,56800
389,2013-03-13,광주,봄,60
390,2013-03-14,대전,가을,18770
391,2013-03-14,광주,겨울,28028
392,2013-03-14,대전,겨울,13368
393,2013-03-14,서울,겨울,597220
394,2013-03-14,광주,봄,240
395,2013-03-15,대전,가을,32990
396,2013-03-15,광주,겨울,39018
397,2013-03-15,대전,겨울,10520
398,2013-03-15,서울,겨울,9000
399,2013-03-16,대전,가을,30030
400,2013-03-16,광주,겨울,33550
401,2013-03-16,대구,겨울,7192
402,2013-03-16,대전,겨울,8872
403,2013-03-16,서울,겨울,519460
404,2013-03-16,광주,봄,40
405,2013-03-18,대전,가을,44130
406,2013-03-18,광주,겨울,35024
407,2013-03-18,대구,겨울,7152
408,2013-03-18,대전,겨울,3976
409,2013-03-18,광주,여름,535
410,2013-03-19,대전,가을,19070
411,2013-03-19,광주,겨울,36738
412,2013-03-19,대구,겨울,17368
413,2013-03-19,대전,겨울,5360
414,2013-03-19,서울,겨울,480060
415,2013-03-20,대전,가을,34210
416,2013-03-20,광주,겨울,37930
417,2013-03-20,대전,겨울,8736
418,2013-03-20,서울,겨울,511720
419,2013-03-21,대전,가을,26530
420,2013-03-21,광주,겨울,27416
421,2013-03-21,대전,겨울,11360
422,2013-03-21,서울,겨울,37600
423,2013-03-22,대전,가을,28710
424,2013-03-22,광주,겨울,36706
425,2013-03-22,대구,겨울,7400
426,2013-03-22,대전,겨울,9128
427,2013-03-22,서울,겨울,76250
428,2013-03-22,광주,여름,32
429,2013-03-23,대전,가을,15130
430,2013-03-23,광주,겨울,44334
431,2013-03-23,대구,겨울,10096
432,2013-03-23,대전,겨울,3416
433,2013-03-23,서울,겨울,28500
434,2013-03-25,광주,겨울,50294
435,2013-03-25,대전,겨울,28650
436,2013-03-25,서울,겨울,9000
437,2013-03-25,대전,봄,3480
438,2013-03-26,광주,겨울,26398
439,2013-03-26,대전,겨울,32724
440,2013-03-26,광주,봄,80
441,2013-03-26,대전,봄,3300
442,2013-03-27,광주,겨울,29900
443,2013-03-27,대구,겨울,7032
444,2013-03-27,대전,겨울,32820
445,2013-03-27,서울,겨울,27500
446,2013-03-27,광주,봄,80
447,2013-03-27,대전,봄,3400
448,2013-03-28,광주,겨울,27146
449,2013-03-28,대전,겨울,33376
450,2013-03-28,서울,겨울,18950
451,2013-03-28,대전,봄,3530
452,2013-03-29,광주,겨울,24470
453,2013-03-29,대구,겨울,5928
454,2013-03-29,대전,겨울,21614
455,2013-03-29,서울,겨울,57200
456,2013-03-29,광주,봄,40
457,2013-03-29,대전,봄,7680
458,2013-03-29,서울,봄,11300
459,2013-03-29,광주,여름,4
460,2013-03-30,광주,겨울,45926
461,2013-03-30,대구,겨울,7544
462,2013-03-30,대전,겨울,27190
463,2013-03-30,서울,겨울,9500
464,2013-03-30,광주,봄,40
465,2013-03-30,대전,봄,4350
466,2013-03-30,광주,여름,4
467,2013-04-01,광주,겨울,42384
468,2013-04-01,대전,겨울,14808
469,2013-04-01,서울,겨울,28500
470,2013-04-01,대전,봄,12230
471,2013-04-01,광주,여름,31
472,2013-04-02,광주,겨울,36698
473,2013-04-02,대구,겨울,8944
474,2013-04-02,대전,겨울,21522
475,2013-04-02,대전,봄,8430
476,2013-04-02,광주,여름,4
477,2013-04-03,광주,겨울,27950
478,2013-04-03,대전,겨울,15912
479,2013-04-03,대전,봄,12360
480,2013-04-04,광주,겨울,43530
481,2013-04-04,대전,겨울,26536
482,2013-04-04,서울,겨울,47000
483,2013-04-04,대전,봄,18090
484,2013-04-05,광주,겨울,38060
485,2013-04-05,대전,겨울,6848
486,2013-04-05,서울,겨울,38500
487,2013-04-05,광주,봄,40
488,2013-04-05,대전,봄,33440
489,2013-04-05,서울,봄,3180
490,2013-04-06,광주,겨울,26390
491,2013-04-06,대전,겨울,10938
492,2013-04-06,광주,봄,4248
493,2013-04-06,대전,봄,27370
494,2013-04-08,광주,겨울,33702
495,2013-04-08,대전,겨울,11880
496,2013-04-08,서울,겨울,47350
497,2013-04-08,광주,봄,23128
498,2013-04-08,대전,봄,43710
499,2013-04-09,광주,겨울,30130
500,2013-04-09,대전,겨울,16128
501,2013-04-09,서울,겨울,10000
502,2013-04-09,광주,봄,20872
503,2013-04-09,대전,봄,38010
504,2013-04-10,광주,겨울,13070
505,2013-04-10,대전,겨울,17376
506,2013-04-10,서울,겨울,48640
507,2013-04-10,광주,봄,21544
508,2013-04-10,대전,봄,38590
509,2013-04-10,서울,봄,28700
510,2013-04-11,광주,겨울,38820
511,2013-04-11,대전,겨울,17088
512,2013-04-11,서울,겨울,38700
513,2013-04-11,광주,봄,24064
514,2013-04-11,대전,봄,32460
515,2013-04-11,서울,봄,24500
516,2013-04-12,광주,겨울,30550
517,2013-04-12,대전,겨울,17240
518,2013-04-12,서울,겨울,39050
519,2013-04-12,대전,봄,36250
520,2013-04-12,서울,봄,10000
521,2013-04-13,광주,겨울,21030
522,2013-04-13,대전,겨울,7496
523,2013-04-13,광주,봄,40
524,2013-04-13,대전,봄,17690
525,2013-04-15,광주,겨울,25120
526,2013-04-15,광주,봄,6960
527,2013-04-15,대구,봄,5224
528,2013-04-15,대전,봄,57686
529,2013-04-15,서울,봄,66400
530,2013-04-16,광주,겨울,27640
531,2013-04-16,서울,겨울,50450
532,2013-04-16,광주,봄,13488
533,2013-04-16,대전,봄,62863
534,2013-04-16,서울,봄,38100
535,2013-04-17,광주,겨울,6140
536,2013-04-17,서울,겨울,53900
537,2013-04-17,광주,봄,12040
538,2013-04-17,대구,봄,1600
539,2013-04-17,대전,봄,51364
540,2013-04-17,서울,봄,57400
541,2013-04-18,광주,겨울,36230
542,2013-04-18,서울,겨울,30900
543,2013-04-18,광주,봄,16048
544,2013-04-18,대전,봄,29204
545,2013-04-18,서울,봄,9000
546,2013-04-19,광주,겨울,22510
547,2013-04-19,광주,봄,10288
548,2013-04-19,대구,봄,5592
549,2013-04-19,대전,봄,37622
550,2013-04-19,서울,봄,144080
551,2013-04-20,광주,겨울,21320
552,2013-04-20,광주,봄,13096
553,2013-04-20,대구,봄,6184
554,2013-04-20,대전,봄,19442
555,2013-04-20,서울,봄,116100
556,2013-04-22,광주,겨울,25140
557,2013-04-22,서울,겨울,29800
558,2013-04-22,광주,봄,14332
559,2013-04-22,대구,봄,10592
560,2013-04-22,대전,봄,64762
561,2013-04-22,서울,봄,226310
562,2013-04-23,광주,겨울,20460
563,2013-04-23,서울,겨울,29700
564,2013-04-23,광주,봄,15928
565,2013-04-23,대구,봄,10376
566,2013-04-23,대전,봄,48350
567,2013-04-23,서울,봄,9000
568,2013-04-24,광주,겨울,10600
569,2013-04-24,서울,겨울,19940
570,2013-04-24,광주,봄,10704
571,2013-04-24,대구,봄,5736
572,2013-04-24,대전,봄,43220
573,2013-04-24,서울,봄,471430
574,2013-04-25,광주,겨울,32040
575,2013-04-25,부산,겨울,16000
576,2013-04-25,광주,봄,10352
577,2013-04-25,대구,봄,5304
578,2013-04-25,대전,봄,35758
579,2013-04-25,부산,봄,60000
580,2013-04-26,광주,겨울,17630
581,2013-04-26,서울,겨울,19900
582,2013-04-26,광주,봄,25802
583,2013-04-26,대전,봄,45068
584,2013-04-26,부산,봄,120000
585,2013-04-26,서울,봄,368850
586,2013-04-27,광주,겨울,37280
587,2013-04-27,광주,봄,10032
588,2013-04-27,대구,봄,2856
589,2013-04-27,대전,봄,51172
590,2013-04-27,서울,봄,10000
591,2013-04-29,광주,겨울,37120
592,2013-04-29,광주,봄,14632
593,2013-04-29,대구,봄,12440
594,2013-04-29,대전,봄,57172
595,2013-04-29,부산,봄,141000
596,2013-04-29,서울,봄,76950
597,2013-04-30,광주,겨울,28606
598,2013-04-30,광주,봄,10840
599,2013-04-30,대구,봄,14800
600,2013-04-30,대전,봄,40408
601,2013-04-30,부산,봄,42000
602,2013-04-30,서울,봄,607550
603,2013-05-01,광주,겨울,18070
604,2013-05-01,광주,봄,2464
605,2013-05-01,대구,봄,5920
606,2013-05-01,대전,봄,44728
607,2013-05-01,부산,봄,56000
608,2013-05-01,서울,봄,458630
609,2013-05-01,광주,여름,52
610,2013-05-02,광주,겨울,25140
611,2013-05-02,광주,봄,7232
612,2013-05-02,대구,봄,5968
613,2013-05-02,대전,봄,73612
614,2013-05-02,부산,봄,209000
615,2013-05-02,서울,봄,509150
616,2013-05-03,광주,겨울,12090
617,2013-05-03,광주,봄,11332
618,2013-05-03,대구,봄,11256
619,2013-05-03,대전,봄,39366
620,2013-05-03,부산,봄,105000
621,2013-05-03,서울,봄,477700
622,2013-05-04,광주,겨울,25820
623,2013-05-04,광주,봄,8384
624,2013-05-04,대구,봄,5720
625,2013-05-04,대전,봄,43958
626,2013-05-04,서울,봄,441940
627,2013-05-06,광주,겨울,34750
628,2013-05-06,서울,겨울,9480
629,2013-05-06,광주,봄,15760
630,2013-05-06,대구,봄,10856
631,2013-05-06,대전,봄,41844
632,2013-05-06,부산,봄,245000
633,2013-05-07,광주,겨울,29394
634,2013-05-07,서울,겨울,10000
635,2013-05-07,광주,봄,11840
636,2013-05-07,대구,봄,16184
637,2013-05-07,대전,봄,77170
638,2013-05-07,부산,봄,98000
639,2013-05-07,서울,봄,644130
640,2013-05-08,광주,겨울,14650
641,2013-05-08,광주,봄,8376
642,2013-05-08,대구,봄,6888
643,2013-05-08,대전,봄,41184
644,2013-05-08,부산,봄,131000
645,2013-05-08,서울,봄,433900
646,2013-05-09,광주,겨울,16960
647,2013-05-09,서울,겨울,10000
648,2013-05-09,광주,봄,4536
649,2013-05-09,대전,봄,39206
650,2013-05-09,부산,봄,99000
651,2013-05-09,서울,봄,49500
652,2013-05-10,광주,겨울,17860
653,2013-05-10,광주,봄,5184
654,2013-05-10,대구,봄,7608
655,2013-05-10,대전,봄,46920
656,2013-05-10,부산,봄,73000
657,2013-05-10,서울,봄,390980
658,2013-05-11,광주,겨울,17560
659,2013-05-11,광주,봄,3788
660,2013-05-11,대구,봄,5536
661,2013-05-11,대전,봄,16924
662,2013-05-11,부산,봄,16000
663,2013-05-11,서울,봄,392100
664,2013-05-13,광주,겨울,27150
665,2013-05-13,광주,봄,8232
666,2013-05-13,대구,봄,5280
667,2013-05-13,대전,봄,62420
668,2013-05-13,부산,봄,227000
669,2013-05-13,서울,봄,465800
670,2013-05-14,광주,겨울,46220
671,2013-05-14,광주,봄,1976
672,2013-05-14,대구,봄,6360
673,2013-05-14,대전,봄,73758
674,2013-05-14,부산,봄,151000
675,2013-05-14,서울,봄,449490
676,2013-05-15,광주,겨울,36050
677,2013-05-15,광주,봄,18064
678,2013-05-15,대구,봄,12288
679,2013-05-15,대전,봄,75728
680,2013-05-15,부산,봄,116000
681,2013-05-15,서울,봄,496500
682,2013-05-16,광주,겨울,28990
683,2013-05-16,광주,봄,15800
684,2013-05-16,대구,봄,10216
685,2013-05-16,대전,봄,57992
686,2013-05-16,부산,봄,184000
687,2013-05-16,서울,봄,44550
688,2013-05-17,광주,겨울,18890
689,2013-05-17,광주,봄,10732
690,2013-05-17,대구,봄,17440
691,2013-05-17,대전,봄,40628
692,2013-05-17,부산,봄,31000
693,2013-05-17,서울,봄,401660
694,2013-05-18,광주,겨울,14020
695,2013-05-18,광주,봄,6952
696,2013-05-18,대구,봄,5824
697,2013-05-18,대전,봄,33068
698,2013-05-18,부산,봄,23000
699,2013-05-18,서울,봄,199370
700,2013-05-20,광주,겨울,12270
701,2013-05-20,광주,봄,12280
702,2013-05-20,대구,봄,6112
703,2013-05-20,대전,봄,62462
704,2013-05-20,부산,봄,290000
705,2013-05-20,서울,봄,47750
706,2013-05-21,광주,겨울,14460
707,2013-05-21,광주,봄,11912
708,2013-05-21,대구,봄,5416
709,2013-05-21,대전,봄,48182
710,2013-05-21,부산,봄,200000
711,2013-05-21,서울,봄,47700
712,2013-05-22,광주,겨울,26850
713,2013-05-22,광주,봄,8904
714,2013-05-22,대구,봄,4712
715,2013-05-22,대전,봄,51792
716,2013-05-22,부산,봄,132000
717,2013-05-22,서울,봄,38100
718,2013-05-23,광주,겨울,24850
719,2013-05-23,광주,봄,10184
720,2013-05-23,대구,봄,8440
721,2013-05-23,대전,봄,39584
722,2013-05-23,부산,봄,149000
723,2013-05-23,서울,봄,523430
724,2013-05-24,광주,겨울,43150
725,2013-05-24,광주,봄,13000
726,2013-05-24,대구,봄,4208
727,2013-05-24,대전,봄,68902
728,2013-05-24,부산,봄,110000
729,2013-05-24,서울,봄,36600
730,2013-05-25,광주,겨울,18210
731,2013-05-25,광주,봄,13420
732,2013-05-25,대구,봄,7088
733,2013-05-25,대전,봄,26116
734,2013-05-25,부산,봄,9000
735,2013-05-25,서울,봄,298300
736,2013-05-27,광주,겨울,24302
737,2013-05-27,대구,겨울,96
738,2013-05-27,광주,봄,9024
739,2013-05-27,대구,봄,4560
740,2013-05-27,대전,봄,94368
741,2013-05-27,부산,봄,189000
742,2013-05-27,서울,봄,45950
743,2013-05-28,광주,겨울,11190
744,2013-05-28,광주,봄,5608
745,2013-05-28,대구,봄,5408
746,2013-05-28,대전,봄,40154
747,2013-05-28,부산,봄,144000
748,2013-05-28,서울,봄,439250
749,2013-05-29,광주,겨울,12470
750,2013-05-29,광주,봄,6672
751,2013-05-29,대구,봄,3792
752,2013-05-29,대전,봄,21416
753,2013-05-29,부산,봄,106000
754,2013-05-29,서울,봄,290760
755,2013-05-30,광주,겨울,31340
756,2013-05-30,광주,봄,13104
757,2013-05-30,대구,봄,5640
758,2013-05-30,대전,봄,63660
759,2013-05-30,부산,봄,210000
